S 644618,4 hit 
S 644718,4 hit 
S 644818,4 hit 
S 644918,4 hit 
L 6060b0,4 miss eviction 
L 6060b4,4 hit 
L 6060b8,4 hit 
L 6060bc,4 hit 
S 64461c,4 hit 
S 64471c,4 hit 
S 64481c,4 hit 
S 64491c,4 hit 
L 6061b0,4 miss eviction 
L 6061b4,4 hit 
L 6061b8,4 hit 
L 6061bc,4 hit 
S 644620,4 miss eviction 
S 644720,4 miss eviction 
S 644820,4 miss eviction 
S 644920,4 miss eviction 
L 6062b0,4 miss eviction 
L 6062b4,4 hit 
L 6062b8,4 hit 
L 6062bc,4 hit 
S 644624,4 hit 
S 644724,4 hit 
S 644824,4 hit 
S 644924,4 hit 
L 6063b0,4 miss eviction 
L 6063b4,4 hit 
L 6063b8,4 hit 
L 6063bc,4 hit 
S 644628,4 hit 
S 644728,4 hit 
S 644828,4 hit 
S 644928,4 hit 
L 6064b0,4 miss eviction 
L 6064b4,4 hit 
L 6064b8,4 hit 
L 6064bc,4 hit 
S 64462c,4 hit 
S 64472c,4 hit 
S 64482c,4 hit 
S 64492c,4 hit 
L 6065b0,4 miss eviction 
L 6065b4,4 hit 
L 6065b8,4 hit 
L 6065bc,4 hit 
S 644630,4 hit 
S 644730,4 hit 
S 644830,4 hit 
S 644930,4 hit 
L 6066b0,4 miss eviction 
L 6066b4,4 hit 
L 6066b8,4 hit 
L 6066bc,4 hit 
S 644634,4 hit 
S 644734,4 hit 
S 644834,4 hit 
S 644934,4 hit 
L 6067b0,4 miss eviction 
L 6067b4,4 hit 
L 6067b8,4 hit 
L 6067bc,4 hit 
S 644638,4 hit 
S 644738,4 hit 
S 644838,4 hit 
S 644938,4 hit 
L 6068b0,4 miss eviction 
L 6068b4,4 hit 
L 6068b8,4 hit 
L 6068bc,4 hit 
S 64463c,4 hit 
S 64473c,4 hit 
S 64483c,4 hit 
S 64493c,4 hit 
L 6069b0,4 miss eviction 
L 6069b4,4 hit 
L 6069b8,4 hit 
L 6069bc,4 hit 
S 644640,4 miss eviction 
S 644740,4 miss eviction 
S 644840,4 miss eviction 
S 644940,4 miss eviction 
L 606ab0,4 miss eviction 
L 606ab4,4 hit 
L 606ab8,4 hit 
L 606abc,4 hit 
S 644644,4 hit 
S 644744,4 hit 
S 644844,4 hit 
S 644944,4 hit 
L 606bb0,4 miss eviction 
L 606bb4,4 hit 
L 606bb8,4 hit 
L 606bbc,4 hit 
S 644648,4 hit 
S 644748,4 hit 
S 644848,4 hit 
S 644948,4 hit 
L 606cb0,4 miss eviction 
L 606cb4,4 hit 
L 606cb8,4 hit 
L 606cbc,4 hit 
S 64464c,4 hit 
S 64474c,4 hit 
S 64484c,4 hit 
S 64494c,4 hit 
L 606db0,4 miss eviction 
L 606db4,4 hit 
L 606db8,4 hit 
L 606dbc,4 hit 
S 644650,4 hit 
S 644750,4 hit 
S 644850,4 hit 
S 644950,4 hit 
L 606eb0,4 miss eviction 
L 606eb4,4 hit 
L 606eb8,4 hit 
L 606ebc,4 hit 
S 644654,4 hit 
S 644754,4 hit 
S 644854,4 hit 
S 644954,4 hit 
L 606fb0,4 miss eviction 
L 606fb4,4 hit 
L 606fb8,4 hit 
L 606fbc,4 hit 
S 644658,4 hit 
S 644758,4 hit 
S 644858,4 hit 
S 644958,4 hit 
